Angola,     1.919,     0.529 
Bangladesh,     1.576,     0.669 
Benin,     1.251,     0.521 
Burkina Faso,     1.538,     0.801 
Burundi,     2.820,     1.217 
Cambodia,     2.360,     0.766 
Cameroon,     0.886,     0.500 
Central African Republic,     3.472,     0.500 
Chad,     4.679,     0.684 
China,     0.893,     0.639 
Côte dIvoire,     0.962,     0.491 
Democratic Republic of the Congo,     1.407,     0.535 
Ethiopia,     3.122,     0.833 
Ghana,     0.891,     0.520 
Guinea,     1.101,     0.689 
Haiti,     1.146,     0.486 
Honduras,     0.831,     0.552 
India,     1.096,     0.827 
Indonesia,     0.830,     0.647 
Kenya,     1.461,     0.824 
Lao Peoples Democratic Republic,     1.850,     0.637 
Madagascar,     1.851,     0.617 
Malawi,     2.090,     0.925 
Mali,     1.327,     0.618 
Mozambique,     1.748,     0.606 
Myanmar,     1.173,     0.748 
Nepal,     1.904,     0.957 
Niger,     2.987,     0.807 
Nigeria,     1.178,     0.543 
Pakistan,     1.081,     0.654 
Rwanda,     1.960,     0.791 
Senegal,     0.933,     0.623 
Sierra Leone,     4.435,     0.509 
Somalia,     1.395,     0.564 
Sudan,     4.375,     0.548 
Thailand,     0.929,     0.779 
Togo,     1.206,     0.594 
Uganda,     2.315,     0.996 
United Republic of Tanzania,     1.545,     0.712 
Viet Nam,     1.176,     0.806 
Yemen,     1.431,     0.652 
Zambia,     1.128,     0.593 
Zimbabwe,     0.945,     1.007 
