Angola,1,   0.3617,   0.8650,   0.0379,   0.0379,   0.9242
Bangladesh,1,   0.2681,   0.7080,   0.0214,   0.0214,   0.9572
Benin,1,   0.3998,   0.7180,   0.0248,   0.0248,   0.9504
Burkina Faso,1,   0.2154,   0.5950,   0.0192,   0.0192,   0.9616
Burundi,1,   0.0938,   0.6430,   0.0087,   0.0087,   0.9827
Cambodia,1,   0.1917,   0.7890,   0.0510,   0.0510,   0.8980
Cameroon,1,   0.4854,   0.4740,   0.0467,   0.0467,   0.9067
Central African Republic,1,   0.3807,   0.9410,   0.0721,   0.0721,   0.8558
Chad,1,   0.2180,   0.9130,   0.0225,   0.0225,   0.9550
China,1,   0.4252,   0.3290,   0.0590,   0.0590,   0.8820
Côte dIvoire,1,   0.4684,   0.5620,   0.0498,   0.0498,   0.9004
Democratic Republic of the Congo,1,   0.3748,   0.7640,   0.0955,   0.0955,   0.8090
Ethiopia,1,   0.1570,   0.8180,   0.0230,   0.0230,   0.9540
Ghana,1,   0.4731,   0.4540,   0.0772,   0.0772,   0.8456
Guinea,1,   0.3281,   0.4570,   0.0336,   0.0336,   0.9329
Haiti,1,   0.4408,   0.7010,   0.0608,   0.0608,   0.8783
Honduras,1,   0.4852,   0.3490,   0.0879,   0.0879,   0.8242
India,1,   0.2923,   0.3480,   0.0852,   0.0852,   0.8296
Indonesia,1,   0.4594,   0.2630,   0.0620,   0.0620,   0.8760
Kenya,1,   0.2167,   0.5480,   0.0279,   0.0279,   0.9441
Lao Peoples Democratic Republic,1,   0.2739,   0.7930,   0.0362,   0.0362,   0.9276
Madagascar,1,   0.2881,   0.8060,   0.0390,   0.0390,   0.9220
Malawi,1,   0.1505,   0.6640,   0.0175,   0.0175,   0.9649
Mali,1,   0.3206,   0.6590,   0.0424,   0.0424,   0.9153
Mozambique,1,   0.3000,   0.7950,   0.0174,   0.0174,   0.9652
Myanmar,1,   0.2893,   0.4560,   0.0808,   0.0808,   0.8384
Nepal,1,   0.1518,   0.6070,   0.0134,   0.0134,   0.9732
Niger,1,   0.1672,   0.8210,   0.0243,   0.0243,   0.9514
Nigeria,1,   0.3907,   0.6580,   0.0390,   0.0390,   0.9220
Pakistan,1,   0.3473,   0.4750,   0.0876,   0.0876,   0.8248
Rwanda,1,   0.1928,   0.7160,   0.0106,   0.0106,   0.9789
Senegal,1,   0.4112,   0.3810,   0.0862,   0.0862,   0.8277
Somalia,1,   0.3516,   0.7350,   0.0636,   0.0636,   0.8727
Sudan,1,   0.3276,   0.9420,   0.0341,   0.0341,   0.9318
Thailand,1,   0.3752,   0.2600,   0.0824,   0.0824,   0.8352
Togo,1,   0.3518,   0.6210,   0.0219,   0.0219,   0.9562
Uganda,1,   0.1303,   0.6670,   0.0141,   0.0141,   0.9718
United Republic of Tanzania,1,   0.2485,   0.6640,   0.0175,   0.0175,   0.9651
Viet Nam,1,   0.2728,   0.4130,   0.0582,   0.0582,   0.8836
Yemen,1,   0.2894,   0.6720,   0.0290,   0.0290,   0.9420
Zambia,1,   0.3661,   0.5720,   0.0575,   0.0575,   0.8850
Zimbabwe,1,   0.3411,   0.1790,   0.0532,   0.0532,   0.8936
