Baseline, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.8927,   0.4568,  -0.0060
Slum max $\geq$ 30\% Urb $\leq$ 20\%, 41,    0.3104,   0.6416,   0.0444,   0.0444,   0.9113,  15.1505,  18.5828,   2.8934,   0.4807,  -0.0061
Slum max $\geq$ 20\% Urb $\leq$ 20\%, 42,    0.3119,   0.6325,   0.0453,   0.0453,   0.9095,  14.8865,  17.8897,   2.8799,   0.4629,  -0.0060
Slum max $\geq$ 10\% Urb $\leq$ 20\%, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.8927,   0.4568,  -0.0060
Slum max $\geq$ 0\% Urb rate $\leq$ 30\%, 53,    0.3722,   0.5545,   0.0604,   0.0604,   0.8792,  13.6061,  12.7995,   2.6262,   0.3898,  -0.0059
Slum max $\geq$ 0\% Urb rate $\leq$ 40\%, 66,    0.4235,   0.4946,   0.0819,   0.0819,   0.8363,  11.3572,   8.2940,   2.3630,   0.3166,  -0.0055
Slum max $\geq$ 0\% Urb rate $\leq$ 50\%, 75,    0.4597,   0.4507,   0.0985,   0.0985,   0.8030,   9.8726,   5.5738,   2.1299,   0.2691,  -0.0051
Slum max $\geq$ 30\% Urb $\leq$ 30\%, 46,    0.3352,   0.6133,   0.0537,   0.0537,   0.8926,  13.9644,  16.0611,   2.8001,   0.4427,  -0.0060
Slum max $\geq$ 30\% Urb $\leq$ 40\%, 53,    0.3805,   0.5824,   0.0689,   0.0689,   0.8621,  12.7527,  13.7053,   2.5940,   0.3967,  -0.0058
$\Delta CDR_{50-80} \leq -7$, 57,    0.4189,   0.5134,   0.0812,   0.0812,   0.8376,  12.5490,  11.3473,   2.5492,   0.4085,  -0.0065
$\Delta CDR_{50-80} \leq -12$, 26,    0.4395,   0.4870,   0.0836,   0.0836,   0.8329,  12.5767,  10.7380,   2.5659,   0.5537,  -0.0082
$\Delta CDR_{50-80} \leq -16$, 9,    0.4712,   0.4832,   0.0709,   0.0709,   0.8582,  17.5136,  15.5502,   2.6001,   0.7572,  -0.0110
ex-China and India, 41,    0.3103,   0.6358,   0.0442,   0.0442,   0.9117,  15.4825,  18.5777,   2.9443,   0.4617,  -0.0060
ex-Communist, 29,    0.3148,   0.6167,   0.0465,   0.0465,   0.9070,  15.3121,  17.5626,   2.9773,   0.4806,  -0.0063
Using slum2 for miss Urb $\leq$ 20\%, 51,    0.3195,   0.5613,   0.0483,   0.0483,   0.9034,  13.4262,  11.8829,   2.6757,   0.4291,  -0.0060
Using slum2 for miss Urb $\leq$ 30\%, 74,    0.4006,   0.4337,   0.0719,   0.0719,   0.8562,  10.4693,   5.6931,   2.1871,   0.3003,  -0.0053
Using slum2 for miss Urb $\leq$ 40\%, 92,    0.4442,   0.3884,   0.0911,   0.0911,   0.8178,   8.9574,   4.0073,   2.0076,   0.2449,  -0.0050
Using slum2 for all Urb $\leq$ 20\%, 51,    0.3195,   0.4781,   0.0483,   0.0483,   0.9034,  13.4262,   9.9144,   2.6757,   0.4291,  -0.0060
Using slum2 for all Urb $\leq$ 30\%, 74,    0.4006,   0.3596,   0.0719,   0.0719,   0.8562,  10.4693,   4.5900,   2.1871,   0.3003,  -0.0053
Using slum2 for all Urb $\leq$ 40\%, 92,    0.4442,   0.3142,   0.0911,   0.0911,   0.8178,   8.9574,   3.1957,   2.0076,   0.2449,  -0.0050
