Baseline, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.6297,   0.4568,  -0.0060
1950 Urbanization $\leq$ 20\%, 41,    0.3104,   0.6416,   0.0444,   0.0444,   0.9113,  15.1505,  18.5828,   2.6366,   0.4807,  -0.0061
1950 Urbanization $\leq$ 30\%, 46,    0.3352,   0.6133,   0.0537,   0.0537,   0.8926,  13.9644,  16.0611,   2.4995,   0.4427,  -0.0060
1950 Urbanization $\leq$ 40\%, 53,    0.3805,   0.5824,   0.0689,   0.0689,   0.8621,  12.7527,  13.7053,   2.2363,   0.3967,  -0.0058
Max. slum share $\geq$ 20\%, 42,    0.3119,   0.6325,   0.0453,   0.0453,   0.9095,  14.8865,  17.8897,   2.6192,   0.4629,  -0.0060
Max. slum share $\geq$ 10\%, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.6297,   0.4568,  -0.0060
$\Delta CDR_{50-80} \leq -7$, 57,    0.4189,   0.5134,   0.0812,   0.0812,   0.8376,  12.5490,  11.3473,   2.1353,   0.4085,  -0.0065
$\Delta CDR_{50-80} \leq -12$, 26,    0.4395,   0.4870,   0.0836,   0.0836,   0.8329,  12.5767,  10.7380,   2.1370,   0.5537,  -0.0082
$\Delta CDR_{50-80} \leq -16$, 9,    0.4712,   0.4832,   0.0709,   0.0709,   0.8582,  17.5136,  15.5502,   2.2313,   0.7572,  -0.0110
ex-China and India, 39,    0.3079,   0.6572,   0.0429,   0.0429,   0.9141,  15.7960,  19.9746,   2.6945,   0.4871,  -0.0060
ex-Communist, 27,    0.3115,   0.6461,   0.0449,   0.0449,   0.9102,  15.7491,  19.4206,   2.7165,   0.5187,  -0.0064
Max. slum share $\geq$ 20\% urb share $\leq$ 20\%, 42,    0.3119,   0.6325,   0.0453,   0.0453,   0.9095,  14.8865,  17.8897,   2.6192,   0.4629,  -0.0060
Max. slum share $\geq$ 20\% urb share $\leq$ 30\%, 49,    0.3487,   0.5890,   0.0574,   0.0574,   0.8852,  13.5798,  14.7027,   2.4306,   0.4071,  -0.0058
Max. slum share $\geq$ 20\% urb share $\leq$ 40\%, 57,    0.3939,   0.5581,   0.0733,   0.0733,   0.8534,  12.2864,  12.4443,   2.1678,   0.3663,  -0.0057
Max. slum share $\geq$ 20\% urb share $\leq$ 50\%, 60,    0.4114,   0.5463,   0.0805,   0.0805,   0.8389,  11.9174,  11.7990,   2.0813,   0.3520,  -0.0057
Max. slum share $\geq$ 0\% urb share $\leq$ 20\%, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.6297,   0.4568,  -0.0060
Max. slum share $\geq$ 0\% urb share $\leq$ 30\%, 51,    0.3575,   0.5730,   0.0583,   0.0583,   0.8835,  13.8234,  14.3324,   2.4200,   0.4122,  -0.0060
Max. slum share $\geq$ 0\% urb share $\leq$ 40\%, 61,    0.4051,   0.5320,   0.0766,   0.0766,   0.8467,  12.3133,  11.5458,   2.1652,   0.3686,  -0.0059
Max. slum share $\geq$ 0\% urb share $\leq$ 50\%, 64,    0.4210,   0.5221,   0.0832,   0.0832,   0.8335,  11.9651,  11.0223,   2.0841,   0.3551,  -0.0059
Use slum var slum $\geq$ 0\% urb share $\leq$ 20\%, 43,    0.3126,   0.6220,   0.0455,   0.0455,   0.9091,  14.8925,  17.4000,   2.6297,   0.4568,  -0.0060
Use slum2 for miss slum $\geq$ 0\% urb share $\leq$ 20\%, 51,    0.3195,   0.5613,   0.0483,   0.0483,   0.9034,  13.4262,  11.8829,   2.4173,   0.4291,  -0.0060
Use slum2 for miss slum $\geq$ 0\% urb share $\leq$ 30\%, 72,    0.3910,   0.4434,   0.0707,   0.0707,   0.8586,  10.5107,   6.0308,   1.9250,   0.3136,  -0.0054
Use slum2 for miss slum $\geq$ 0\% urb share $\leq$ 40\%, 87,    0.4325,   0.4085,   0.0880,   0.0880,   0.8240,   9.3513,   4.8464,   1.7322,   0.2772,  -0.0053
Use slum2 for miss slum $\geq$ 0\% urb share $\leq$ 50\%, 95,    0.4545,   0.3915,   0.0988,   0.0988,   0.8024,   8.7719,   4.2961,   1.6140,   0.2346,  -0.0050
